dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.029729,-0.644703,0.000056,0.005556,0.277778,13.888889,6.280547
0.020000,0.029744,-0.644703,0.000070,0.000716,-0.241991,-25.988425,6.280562
0.020000,0.029776,-0.644703,0.000102,0.001611,0.044740,14.336512,6.280597
0.020000,0.029833,-0.644703,0.000159,0.002864,0.062651,0.895586,6.280658
0.020000,0.029922,-0.644703,0.000249,0.004475,0.080587,0.896807,6.280754
0.020000,0.030051,-0.644703,0.000378,0.006447,0.098564,0.898807,6.280891
0.020000,0.030227,-0.644704,0.000553,0.008779,0.116599,0.901784,6.281079
0.020000,0.030456,-0.644704,0.000783,0.011473,0.134718,0.905935,6.281325
0.020000,0.030747,-0.644705,0.001073,0.014532,0.152947,0.911461,6.281635
0.020000,0.031106,-0.644705,0.001433,0.017958,0.171318,0.918567,6.282020
0.020000,0.031541,-0.644706,0.001868,0.021756,0.189868,0.927462,6.282485
0.020000,0.032060,-0.644706,0.002386,0.025928,0.208635,0.938359,6.283040
0.020000,0.039974,-0.644704,0.010300,0.395691,18.488145,913.975495,0.000507
0.020000,0.051581,-0.644694,0.021908,0.580380,9.234447,-462.684913,0.001267
0.020000,0.064890,-0.644671,0.035216,0.665433,4.252647,-249.089952,0.002141
0.020000,0.080045,-0.644631,0.050372,0.757772,4.616941,18.214699,0.003140
0.020000,0.097170,-0.644567,0.067496,0.856218,4.922292,15.267509,0.004274
0.020000,0.116348,-0.644473,0.086675,0.958923,5.135285,10.649688,0.005551
0.020000,0.137759,-0.644339,0.108086,1.070556,5.581609,22.316161,0.006985
0.020000,0.161467,-0.644155,0.131795,1.185444,5.744432,8.141193,0.008582
0.020000,0.187623,-0.643907,0.157952,1.307863,6.120940,18.825381,0.010358
0.020000,0.216359,-0.643581,0.186689,1.436878,6.450741,16.490037,0.012324
0.020000,0.247770,-0.643160,0.218104,1.570712,6.691730,12.049436,0.014492
0.020000,0.281990,-0.642623,0.252328,1.711193,7.024011,16.614054,0.016876
0.020000,0.319148,-0.641948,0.289492,1.858235,7.352138,16.406389,0.019492
0.020000,0.359314,-0.641107,0.329667,2.008755,7.525997,8.692915,0.022352
0.020000,0.402495,-0.640075,0.372860,2.159639,7.544193,0.909809,0.025465
0.020000,0.448693,-0.638820,0.419075,2.310743,7.555198,0.550256,0.028839
0.020000,0.497908,-0.637311,0.468313,2.461921,7.558886,0.184395,0.032485
0.020000,0.550150,-0.635511,0.520586,2.613648,7.586350,1.373195,0.036415
0.020000,0.605468,-0.633379,0.575945,2.767949,7.715068,6.435887,0.040644
0.020000,0.663804,-0.630874,0.634335,2.919486,7.576824,-6.912177,0.045181
0.020000,0.725246,-0.627947,0.695847,3.075603,7.805848,11.451214,0.050048
0.020000,0.789750,-0.624548,0.760440,3.229640,7.701868,-5.199018,0.055258
0.020000,0.857337,-0.620621,0.828141,3.385050,7.770509,3.432061,0.060829
0.020000,0.928032,-0.616105,0.898980,3.541954,7.845164,3.732720,0.066785
0.020000,1.001854,-0.610932,0.972984,3.700194,7.912012,3.342446,0.073147
0.020000,1.078821,-0.605031,1.050176,3.859609,7.970747,2.936723,0.079941
0.020000,1.158941,-0.598321,1.130577,4.020031,8.021115,2.518395,0.087194
0.020000,1.242220,-0.590717,1.214202,4.181290,8.062934,2.090944,0.094936
0.020000,1.328679,-0.582126,1.301087,4.344209,8.145977,4.152166,0.103201
0.020000,1.418363,-0.572439,1.391293,4.510319,8.305471,7.974679,0.112027
0.020000,1.511262,-0.561546,1.484828,4.676753,8.321717,0.812314,0.121454
0.020000,1.607396,-0.549324,1.581736,4.845384,8.431564,5.492348,0.131526
0.020000,1.706798,-0.535632,1.682077,5.017050,8.583274,7.585526,0.142295
0.020000,1.809494,-0.520318,1.785908,5.191581,8.726542,7.163403,0.153818
0.020000,1.915500,-0.503217,1.893284,5.368803,8.861103,6.728041,0.166154
0.020000,2.024819,-0.484145,2.004255,5.548541,8.986902,6.289964,0.179372
0.020000,2.137463,-0.462900,2.118885,5.731490,9.147471,8.028406,0.193546
0.020000,2.253476,-0.439249,2.237284,5.919939,9.422464,13.749695,0.208762
0.020000,2.372847,-0.412946,2.359518,6.111719,9.588981,8.325814,0.225113
0.020000,2.495576,-0.383712,2.485682,6.308167,9.822420,11.671941,0.242699
0.020000,2.621660,-0.351235,2.615881,6.509953,10.089304,13.344206,0.261635
0.020000,2.751079,-0.315171,2.750231,6.717502,10.377438,14.406721,0.282044
0.020000,2.883823,-0.275129,2.888883,6.932616,10.755696,18.912898,0.304067
0.020000,3.019810,-0.230687,3.031947,7.153213,11.029827,13.706522,0.327847
0.020000,3.158963,-0.181370,3.179581,7.381693,11.424017,19.709546,0.353545
0.020000,3.301162,-0.126653,3.331944,7.618148,11.822728,19.935545,0.381332
0.020000,3.446226,-0.065962,3.489193,7.862426,12.213941,19.560640,0.411382
0.020000,3.593945,0.001339,3.651520,8.116356,12.696486,24.127246,0.443880
0.020000,3.743982,0.075919,3.819071,8.377554,13.059917,18.171544,0.479001
0.020000,3.895917,0.158491,3.991994,8.646144,13.429493,18.478814,0.516906
0.020000,4.049235,0.249808,4.170446,8.922616,13.823589,19.704768,0.557739
0.020000,4.203222,0.350590,4.354481,9.201770,13.957710,6.706073,0.601586
0.020000,4.357041,0.461543,4.544142,9.483019,14.062442,5.236608,0.648479
0.020000,4.509662,0.583278,4.739366,9.761214,13.909743,-7.634937,0.698359
0.020000,4.659897,0.716273,4.940010,10.032201,13.549358,-18.019283,0.751062
0.020000,4.806389,0.860784,5.145786,10.288779,12.828870,-36.024369,0.806289
0.020000,4.947693,1.016818,5.356293,10.525355,11.828840,-50.001512,0.863608
0.020000,5.082332,1.184074,5.571008,10.735740,10.519230,-65.480532,0.922459
0.020000,5.208896,1.361941,5.789308,10.915021,8.964041,-77.759421,0.982175
0.020000,5.326136,1.549516,6.010509,11.060032,7.250577,-85.673227,1.042022
0.020000,5.433019,1.745609,6.233839,11.166505,5.323656,-96.346028,1.101235
0.020000,5.528808,1.948824,6.458498,11.232965,3.322978,-100.033891,1.159075
0.020000,5.613122,2.157727,6.683774,11.263789,1.541183,-89.089777,1.214898
0.020000,5.685922,2.370943,6.909076,11.265105,0.065808,-73.768749,1.268193
0.020000,5.747455,2.587238,7.133953,11.243878,-1.061356,-56.358164,1.318593
0.020000,5.798184,2.805552,7.358084,11.206516,-1.868068,-40.335605,1.365871
0.020000,5.838718,3.025008,7.581251,11.158362,-2.407697,-26.981453,1.409923
0.020000,5.869757,3.244929,7.803352,11.105051,-2.665592,-12.894763,1.450750
0.020000,5.892032,3.464796,8.024345,11.049635,-2.770768,-5.258809,1.488426
0.020000,5.906273,3.684226,8.244236,10.994566,-2.753438,0.866511,1.523080
0.020000,5.913187,3.902945,8.463064,10.941404,-2.658138,4.764990,1.554873
0.020000,5.913441,4.120765,8.680884,10.891002,-2.520077,6.903059,1.583982
0.020000,5.907655,4.337561,8.897758,10.843690,-2.365627,7.722494,1.610593
0.020000,5.896402,4.553256,9.113746,10.799418,-2.213598,7.601441,1.634888
0.020000,5.880209,4.767804,9.328904,10.757883,-2.076746,6.842623,1.657044
0.020000,5.859557,4.981173,9.543271,10.718328,-1.977738,4.950381,1.677226
0.020000,5.834887,5.193349,9.756876,10.680275,-1.902644,3.754735,1.695585
0.020000,5.806604,5.404335,9.969749,10.643634,-1.832036,3.530378,1.712263
0.020000,5.775081,5.614116,10.181885,10.606829,-1.840292,-0.412779,1.727387
0.020000,5.740661,5.822701,10.393291,10.570291,-1.826892,0.669978,1.741072
0.020000,5.703661,6.030086,10.603951,10.533010,-1.864032,-1.856991,1.753422
0.020000,5.664378,6.236259,10.813833,10.494072,-1.946915,-4.144162,1.764529
0.020000,5.623088,6.441217,11.022909,10.453810,-2.013090,-3.308748,1.774475
0.020000,5.580049,6.644948,11.231136,10.411367,-2.122165,-5.453770,1.783334
0.020000,5.535505,6.847434,11.438464,10.366378,-2.249453,-6.364359,1.791171
0.020000,5.489674,7.048709,11.644891,10.321369,-2.250437,-0.049217,1.798045
0.020000,5.442746,7.248858,11.850468,10.278835,-2.126707,6.186476,1.804010
0.020000,5.394902,7.447958,12.055236,10.238404,-2.021521,5.259318,1.809109
0.020000,5.346310,7.646081,12.259231,10.199737,-1.933377,4.407215,1.813381
0.020000,5.297131,7.843292,12.462481,10.162517,-1.860972,3.620235,1.816856
0.020000,5.247520,8.039651,12.665010,10.126441,-1.803802,2.858480,1.819560
0.020000,5.197627,8.235211,12.866835,10.091229,-1.760615,2.159354,1.821512
0.020000,5.147596,8.430024,13.067969,10.056714,-1.725723,1.744596,1.822725
0.020000,5.097570,8.624133,13.268420,10.022581,-1.706652,0.953568,1.823207
0.020000,5.047692,8.817577,13.468192,9.988589,-1.699600,0.352585,1.822963
0.020000,4.998100,9.010392,13.667283,9.954514,-1.703776,-0.208761,1.821990
0.020000,4.948937,9.202608,13.865686,9.920158,-1.717808,-0.701604,1.820281
0.020000,4.900346,9.394248,14.063390,9.885216,-1.747088,-1.464000,1.817825
0.020000,4.852473,9.585331,14.260379,9.849457,-1.787957,-2.043489,1.814605
0.020000,4.805466,9.775871,14.456632,9.812623,-1.841715,-2.687855,1.810597
0.020000,4.759480,9.965874,14.652120,9.774438,-1.909209,-3.374745,1.805772
0.020000,4.714676,10.155341,14.846812,9.734607,-1.991591,-4.119061,1.800095
0.020000,4.671219,10.344263,15.040668,9.692800,-2.090341,-4.937526,1.793524
0.020000,4.629285,10.532625,15.233642,9.648653,-2.207319,-5.848879,1.786009
0.020000,4.589057,10.720399,15.425677,9.601757,-2.344799,-6.874006,1.777490
0.020000,4.550731,10.907548,15.616710,9.551647,-2.505518,-8.035944,1.767899
0.020000,4.514514,11.094019,15.806665,9.497793,-2.692711,-9.359671,1.757157
0.020000,4.480626,11.279738,15.995451,9.439267,-2.926303,-11.679603,1.745173
0.020000,4.449310,11.464568,16.182915,9.373215,-3.302604,-18.815040,1.731847
0.020000,4.420828,11.648297,16.368838,9.296168,-3.852339,-27.486755,1.717068
0.020000,4.395450,11.830699,16.552997,9.207931,-4.411854,-27.975746,1.700713
0.020000,4.373454,12.011515,16.735146,9.107459,-5.023582,-30.586374,1.682644
0.020000,4.355126,12.190473,16.915041,8.994731,-5.636406,-30.641224,1.662707
0.020000,4.340752,12.367253,17.092403,8.868123,-6.330389,-34.699152,1.640733
0.020000,4.330623,12.541506,17.266951,8.727357,-7.038304,-35.395757,1.616537
0.020000,4.325021,12.712848,17.438384,8.571686,-7.783540,-37.261802,1.589918
0.020000,4.324218,12.880855,17.606394,8.400478,-8.560441,-38.845059,1.560663
0.020000,4.328469,13.045067,17.770660,8.213326,-9.357568,-39.856346,1.528553
0.020000,4.337995,13.204998,17.930874,8.010707,-10.130947,-38.668922,1.493365
0.020000,4.352979,13.360123,18.086721,7.792345,-10.918138,-39.359554,1.454894
0.020000,4.373549,13.509924,18.237928,7.560340,-11.600221,-34.104151,1.412960
0.020000,4.399771,13.653890,18.384263,7.316751,-12.179458,-28.961880,1.367440
0.020000,4.431642,13.791567,18.525581,7.065879,-12.543586,-18.206358,1.318288
0.020000,4.469087,13.922570,18.661830,6.812484,-12.669780,-6.309733,1.265578
0.020000,4.511974,14.046643,18.793106,6.563793,-12.434518,11.763096,1.209526
0.020000,4.560134,14.163680,18.919665,6.327924,-11.793460,32.052902,1.150522
0.020000,4.613383,14.273737,19.041927,6.113102,-10.741114,52.617306,1.089138
0.020000,4.671557,14.377029,19.160474,5.927359,-9.287139,72.698755,1.026113
0.020000,4.734525,14.473891,19.276005,5.776537,-7.541092,87.302352,0.962314
0.020000,4.802195,14.564728,19.389276,5.663563,-5.648685,94.620331,0.898668
0.020000,4.874486,14.649949,19.501029,5.587647,-3.795815,92.643516,0.836085
0.020000,4.951300,14.729927,19.611921,5.544590,-2.152861,82.147707,0.775386
0.020000,5.032485,14.804967,19.722473,5.527609,-0.849068,65.189671,0.717243
0.020000,5.117835,14.875325,19.833085,5.530617,0.150443,49.975515,0.662131
0.020000,5.207084,14.941213,19.944020,5.546739,0.806078,32.781754,0.610337
0.020000,5.299897,15.002800,20.055407,5.569365,1.131298,16.260992,0.561986
0.020000,5.395857,15.060223,20.167237,5.591471,1.105325,-1.298647,0.517089
0.020000,5.494535,15.113624,20.279437,5.610033,0.928082,-8.862151,0.475550
0.020000,5.595455,15.163138,20.391850,5.620610,0.528851,-19.961514,0.437218
0.020000,5.698174,15.208925,20.504311,5.623064,0.122692,-20.307992,0.401893
0.020000,5.802230,15.251141,20.616605,5.614707,-0.417868,-27.027958,0.369368
0.020000,5.907205,15.289960,20.728527,5.596092,-0.930707,-25.641961,0.339422
0.020000,6.012727,15.325569,20.839895,5.568413,-1.383959,-22.662635,0.311834
0.020000,6.118412,15.358141,20.950486,5.529563,-1.942527,-27.928373,0.286406
0.020000,6.223963,15.387869,21.060144,5.482882,-2.334034,-19.575343,0.262941
0.020000,6.329094,15.414935,21.168703,5.427962,-2.745996,-20.598122,0.241261
0.020000,6.433523,15.439511,21.275984,5.364039,-3.196130,-22.506688,0.221209
0.020000,6.537064,15.461777,21.381893,5.295450,-3.429455,-11.666233,0.202630
0.020000,6.639478,15.481891,21.486263,5.218480,-3.848511,-20.952804,0.185400
0.020000,6.740611,15.500014,21.589007,5.137233,-4.062380,-10.693471,0.169394
0.020000,6.840312,15.516297,21.690029,5.051102,-4.306541,-12.208068,0.154506
0.020000,6.938414,15.530874,21.789208,4.958920,-4.609109,-15.128371,0.140643
0.020000,7.034833,15.543885,21.886501,4.864669,-4.712524,-5.170739,0.127715
0.020000,7.129440,15.555449,21.981812,4.765531,-4.956929,-12.220251,0.115648
0.020000,7.222160,15.565686,22.075096,4.664194,-5.066833,-5.495192,0.104369
0.020000,7.312899,15.574704,22.166281,4.559278,-5.245774,-8.947096,0.093818
0.020000,7.401577,15.582604,22.255310,4.451458,-5.391030,-7.262758,0.083940
0.020000,7.488131,15.589480,22.342138,4.341361,-5.504848,-5.690939,0.074685
0.020000,7.572513,15.595424,22.426729,4.229570,-5.589530,-4.234097,0.066006
0.020000,7.654688,15.600518,22.509061,4.116623,-5.647376,-2.892303,0.057860
0.020000,7.734566,15.604836,22.589055,3.999700,-5.846132,-9.937761,0.050216
0.020000,7.812163,15.608456,22.666737,3.884073,-5.781360,3.238590,0.043035
0.020000,7.887385,15.611439,22.742018,3.764068,-6.000245,-10.944263,0.036291
0.020000,7.960237,15.613852,22.814911,3.644626,-5.972084,1.408029,0.029954
0.020000,8.030689,15.615752,22.885388,3.523847,-6.038948,-3.343166,0.023999
0.020000,8.098710,15.617194,22.953424,3.401808,-6.101953,-3.150255,0.018405
0.020000,8.164278,15.618228,23.019000,3.278829,-6.148952,-2.349974,0.013150
0.020000,8.227379,15.618901,23.082105,3.155211,-6.180908,-1.597766,0.008215
0.020000,8.287991,15.619258,23.142718,3.030664,-6.227330,-2.321100,0.003584
0.020000,8.346071,15.619340,23.200798,2.904025,-6.331992,-5.233100,6.282428
0.020000,8.401658,15.619184,23.256386,2.779354,-6.233524,4.923393,6.278359
0.020000,8.454685,15.618827,23.309413,2.651397,-6.397874,-8.217493,6.274552
0.020000,8.505195,15.618301,23.359927,2.525663,-6.286697,5.558830,6.270993
0.020000,8.553119,15.617637,23.407855,2.396403,-6.462962,-8.813234,6.267674
0.020000,8.598484,15.616863,23.453226,2.268582,-6.391062,3.595000,6.264583
0.020000,8.641281,15.616005,23.496032,2.140285,-6.414840,-1.188923,6.261711
0.020000,8.681497,15.615087,23.536258,2.011313,-6.448614,-1.688693,6.259050
0.020000,8.719122,15.614133,23.573895,1.881852,-6.473072,-1.222916,6.256594
0.020000,8.754150,15.613161,23.608937,1.752081,-6.488518,-0.772262,6.254334
0.020000,8.786586,15.612192,23.641387,1.622501,-6.479032,0.474274,6.252266
0.020000,8.816488,15.611239,23.671305,1.495898,-6.330133,7.444941,6.250379
0.020000,8.843961,15.610313,23.698794,1.374437,-6.073062,12.853581,6.248661
0.020000,8.869065,15.609427,23.723913,1.255948,-5.924448,7.430667,6.247105
0.020000,8.891958,15.608584,23.746821,1.145421,-5.526333,19.905774,6.245698
0.020000,8.912710,15.607793,23.767588,1.038359,-5.353109,8.661179,6.244431
0.020000,8.931436,15.607056,23.786329,0.937013,-5.067311,14.289925,6.243295
0.020000,8.948229,15.606377,23.803136,0.840372,-4.832019,11.764597,6.242282
0.020000,8.963222,15.605757,23.818141,0.750261,-4.505571,16.322373,6.241382
0.020000,8.976461,15.605198,23.831392,0.662537,-4.386201,5.968543,6.240591
0.020000,8.988104,15.604698,23.843046,0.582720,-3.990831,19.768491,6.239898
0.020000,8.998251,15.604255,23.853202,0.507796,-3.746198,12.231625,6.239296
0.020000,9.006970,15.603870,23.861931,0.436409,-3.569383,8.840769,6.238781
0.020000,9.014387,15.603539,23.869354,0.371195,-3.260702,15.434060,6.238343
0.020000,9.020613,15.603258,23.875587,0.311648,-2.977332,14.168489,6.237977
0.020000,9.025752,15.603025,23.880732,0.257221,-2.721346,12.799302,6.237675
0.020000,9.029907,15.602835,23.884891,0.207954,-2.463353,12.899633,6.237432
0.020000,9.033181,15.602685,23.888168,0.163880,-2.203720,12.981684,6.237240
0.020000,9.035679,15.602570,23.890669,0.125024,-1.942774,13.047274,6.237094
0.020000,9.037505,15.602486,23.892497,0.091408,-1.680809,13.098236,6.236987
0.020000,9.038765,15.602427,23.893758,0.063046,-1.418081,13.136413,6.236913
0.020000,9.039563,15.602390,23.894557,0.039950,-1.154808,13.163655,6.236867
0.020000,9.040005,15.602370,23.895000,0.022127,-0.891172,13.181817,6.236841
0.020000,9.040197,15.602361,23.895191,0.009580,-0.627316,13.192758,6.236829
0.020000,9.040243,15.602359,23.895237,0.002313,-0.363350,13.198340,6.236827
0.020000,9.040243,15.602359,23.895237,0.000000,-0.115675,12.383752,6.236827
